Title,Author,Fandom,Url,Kudos,Summary,Content
like a light i'm luring you,kybelles,Banana Fish (Anime & Manga),https://archiveofourown.org/works/16346612,"10,902","Summary: One night, world famous musician Ash Lynx drunk tweets about a cute boy he saw in a magazine and all hell breaks loose. “Oh my God, just show me!” Eiji yells nervously. Yut-Lung presses his lips tightly, turning his phone screen for Eiji to see. Eiji tenses when he sees the photos from his photoshoot on Twitter, but it’s nothing compared to the way his body freezes when he notices the person who tweeted them. Ash Lynx ✓ @ash-lynx who are you where do you live how old are you why are you so fine how do you like your eggs in the morning [IMAGE] [IMAGE] 73.231 Retweets 101.762 Likes Eiji stares, and stares, and stares while his brain processes the fact that Ash Lynx, the Ash Lynx –famous musician whose entire discography is on Eiji’s Spotify list— has tweeted about him and called him fine. A long moment later, Eiji’s mouth falls open and a scream rips from his throat.",Teen And Up Audiences Creator Chose Not To Use Archive Warnings M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Lee Yut-Lung Shorter Wong Sing Soo-Ling Max Lobo Jessica Randy Ibe Shunichi Background & Cameo Characters Alternate Universe - Modern Setting Alternate Universe - Musician & Photographer Fluff and Humor Social Media ash is a musician and eiji is a photographer accidental model eiji ash has a crazy fandom Fandom Discourse inspired by zara larsson's iconic story about how she met her boyfriend side yut-lung/sing
higher off the ground,kybelles,Banana Fish (Anime & Manga),https://archiveofourown.org/works/16246355,"8,238","Summary: Ash discovers Eiji can lift him easily and develops a slight obsession. Ash feels bad about upsetting him, but they have to be realistic. “Oh come on, Eiji. We both know you can’t even lift me.” “I was an athlete, Ash.” Eiji says with narrowed eyes. “I assure you, I can lift you.” Ash raises his eyebrows at him. “Well, then be my guest.” Of course he doesn’t expect Eiji to call him on his bluff. He prepares himself to laugh it as a joke, waits for Eiji to throw him his familiar teasing smile. Ash watches in a dazed haze as Eiji leans forward to gather him in his arms, easily lifts him from his chair and carries him to his room without even showing the smallest sign of a struggle. He gently puts Ash to his bed and steps back. “Well, what do you think now?” he asks smugly. Holy fucking hell, Ash thinks. [Russian]",Teen And Up Audiences No Archive Warnings Apply M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Alex (Banana Fish) Kong (Banana Fish) Bones (Banana Fish) Canon Universe Fluff and Humor Light Angst Sickfic basically ash has a cold and he loses his mind a little over the fact that eiji can lift him
Hot,Shapeshifter99,Banana Fish,https://archiveofourown.org/works/15399927,"5,850","Summary: It's too hot in New York City, and Ash can't stop getting distracted by Eiji.",Explicit Creator Chose Not To Use Archive Warnings M/M Banana Fish Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji ash is pining eiji is an accidental Tease Explicit Sexual Content Hurt/Comfort the boys being soft
"this dream, realized",luftballons99,Banana Fish (Anime & Manga),https://archiveofourown.org/works/15993551,"4,884","Summary: “It’s just dancing,” Ash whispers, knowing that nothing he does with Eiji could ever be ‘just’ anything. “You’ll be a pro in no time.” or Ash teaches Eiji how to dance. Eiji teaches Ash how to hope.",Teen And Up Audiences No Archive Warnings Apply M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Canon - Manga Pining Fluff Slow Dancing Domestic takes place in the 5th avenue apartment Emotional Hurt/Comfort Angst with a Happy Ending Dorks in Love Love Confessions No Spoilers
"be my mirror, my sword and shield",kybelles,Banana Fish (Anime & Manga),https://archiveofourown.org/works/15885900,"3,969","Summary: Ash Lynx finds the love of his life on a quiet night after he trips on sidewalk and harshly bumps his face against it when he exits from library. Ash lets out a long-suffering sigh and prepares to take out his phone when he hears a sharp inhale and feels someone approaching him in a hurry. He defensively turns towards the noise but freezes like a deer caught in the headlights. There’s guy in front of him who’s looking at Ash with concern and the sight of him literally makes Ash’s heart flutter like it’s never done before. He has the softest looking black hair Ash’s ever seen and for a crazy moment, Ash feels an irrepressible urge to run his hand through it. The guy’s already big dark eyes grow impossibly bigger when they land on Ash’s bruised cheek. “Oh my god!” he shrieks in an adorable manner. “Are you okay?” “You must be an angel.” Ash blurts before he can stop himself. [Russian]",Teen And Up Audiences Creator Chose Not To Use Archive Warnings M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Shorter Wong Lee Yut-Lung Background & Cameo Characters Alternate Universe - Modern Setting Alternate Universe - College/University Fluff and Humor Meet-Cute Social Media Texting Light Angst this is gonna be a fluffy fic fellas we suffer enough side shorter/yut-lung ash is weak when it comes to eiji
of sugar cookies and chocolate puddings,kybelles,Banana Fish (Anime & Manga),https://archiveofourown.org/works/15482496,"3,548","Summary: Eiji first meets Ash on a gloomy sunday afternoon. After a little silence, the door is slowly opened by someone Eiji doesn’t notice at first. When he lowers his eyes a little, however, his gaze meets with a pair of bright green eyes. He takes a little step back, taking the appearance of the blonde kid who’s standing in front him. The suspicious scowl on his face softens a little when his eyes catch the plate in Eiji’s hands but he keeps holding his guard. “Um…” Eiji begins hesitantly. “What do you want?” the boy asks with a challenging face. “M-my mom sent this.” he stammers finally, pushing the plate forward a little clumsily.",Teen And Up Audiences No Archive Warnings Apply M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Eiji's Mother Griffin Callenreese Shorter Wong Alternate Universe - Neighbors Alternate Universe - Childhood Friends Growing Up Together Fluff Angst with a Happy Ending a very brief angst though because these boys deserve to be happy also none of the creepy characters are here bye this fic is about soft pining boys who grew up together so you don't belong here
Ain't it like thunder under earth,Snow_Falls,Banana Fish (Anime & Manga),https://archiveofourown.org/works/16747105,"3,529","Summary: 'Alex clarified, when again it seemed like Ash wouldn’t reply. “Whoever goes with the boss has to spend some time fooling around with him.” “Who is going with Ash?” Eiji had to ask. There was a significant pause. The boys looked at Eiji and away.'  Fake dating, then real dating, with the mildest of heists thrown in for flavour.",Explicit No Archive Warnings Apply M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Max Lobo Ibe Shunichi Bones (Banana Fish) Kong (Banana Fish) Alex (Banana Fish) Alternate Universe - Canon Divergence Fake/Pretend Relationship Sexual Content Pining Heist sort of plot if you squint Eiji is a cutie Ash is the sweetest they're both dorks Dorks in Love boys being soft
fishbowl,luftballons99,Banana Fish (Anime & Manga),https://archiveofourown.org/works/16278572,"3,432","Summary: In which Mrs. Coleman means well, Alex sees God, Sing loses, and the age-old question “What’s with Ash and Eiji?” is answered. ""It’s like watching a goddamn soap opera.""",Teen And Up Audiences No Archive Warnings Apply M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Sing Soo-Ling & Ash Lynx Mrs. Coleman & Okumura Eiji Alex & Okumura Eiji Alex & Ash Lynx Ash Lynx Okumura Eiji Sing Soo-Ling Mrs. Coleman Alex (Banana Fish) Established Relationship Vignette POV Minor Character Romance Unrequited Crush Flirting Friendship Humor
Odour of Chrysanthemums,nyanja14,Banana Fish (Anime & Manga),https://archiveofourown.org/works/21540757,"3,314","Summary: Two years Eiji was gone with barely a word sent back home to his mother. Two years of her son’s life that Hiroko will never know. Hiroko is angry at Ibe for failing so spectacularly at keeping her son safe. She’s angry at Eiji for not coming home at the first opportunity. But her true fury has nowhere to go. Ash Lynx is already dead. (except he's not really because this is my fic, and I say Ash lived; welcome to my post-series ""Eiji's Mom Meets Ash"" fic)",Teen And Up Audiences No Archive Warnings Apply Gen M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Okumura Eiji & Original Character(s) Ash Lynx & Original Character(s) Okumura Eiji & Okumura Eiji's Mother Ash Lynx & Okumura Eiji's Mother Ash Lynx Okumura Eiji Okumura Eiji's Family Okumura Eiji's Mother Okumura Eiji's Sister Post-Canon POV Outsider Japan Mother-Son Relationship Fix-It Alternate Universe - Canon Divergence Post-Canon Fix-It Period-Typical Homophobia Ash Lynx Lives Ash Lynx and Okumura Eiji Go to Japan Banana Fish Ending Fix-It Xenophobia POV Original Character
satin birds,kybelles,Banana Fish (Anime & Manga),https://archiveofourown.org/works/17452940,"3,161","Summary: PUBLIC ANNOUNCEMENT Mr. James R. Callenreese and Ms. Hideko Aoki are very delighted to announce the engagement between Mr. Callenreese's son and sole heir to Callenreese Corporotions Mr. Aslan J. Callenreese and Ms. Aoki's beloved nephew Mr. Eiji Okumura. The happy couple haven't decided on a wedding date yet. (Except, Ash and Eiji are not happy at all because they don't want this marriage.) [Russian] [Spanish]",Mature Creator Chose Not To Use Archive Warnings M/M Banana Fish (Anime & Manga) Ash Lynx/Okumura Eiji Ash Lynx Okumura Eiji Lee Yut-Lung Sing Soo-Ling Shorter Wong Max Lobo Jessica Randy Ibe Shunichi Blanca (Banana Fish) Natasha Kalsavina Griffin Callenreese Jim Callenreese Original Characters Alternate Universe - Arranged Marriage Marriage of Convenience Strangers to Friends to Lovers Slow Burn Mutual Pining Angst Angst with a Happy Ending Fluff Mystery Implied/Referenced Suicide (sort of) unrequited yut-lung/eiji eventual sing/yut-lung
