Title,Author,Fandom,Url,Kudos,Summary,Content
Mastermind: Strategist For Hire,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,https://archiveofourown.org/works/22055713,"42,098","Summary: Izuku Midoriya never got the chance to save Bakugo from the sludge villain and impress All Might. With his dream crushed, Izuku becomes bitter and angry. It also doesn't help that he faces discrimination at every turn. All he ever wanted was to be appreciated, so when the villains are the ones to recognize his talents rather than the heroes, well, Izuku just can't resist. He might as well help those who actually want him around. Mistakes were made, and now society must face a villain of their own making: Mastermind. This fic has a discord.",Teen And Up Audiences Major Character Death Graphic Depictions Of Violence Gen F/M M/M 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Midoriya Izuku & Toga Himiko Midoriya Izuku & Okuta Kagerou | Giran Midoriya Izuku & Todoroki Shouto Midoriya Izuku/Todoroki Shouto Dabi & Todoroki Shouto Dabi & Takami Keigo | Hawks Dabi/Takami Keigo | Hawks (If you squint) Midoriya Izuku Midoriya Inko Yagi Toshinori | All Might Bakugou Katsuki Takeyama Yuu | Mount Lady Toga Himiko Okuta Kagerou | Giran Midoriya Hisashi Sensei | All For One Shigaraki Tomura | Shimura Tenko Kurogiri (My Hero Academia) Chisaki Kai | Overhaul Nedzu (My Hero Academia) Tsukauchi Naomasa Aizawa Shouta | Eraserhead Todoroki Shouto Nishiya Shinji | Kamui Woods Todoroki Enji | Endeavor Iida Tenya Wash (My Hero Academia) Nemoto Shin Setsuno Touya Rappa Kendou Tengai Hekiji Sakaki Deidoro Hojo Yu Katsukame Rikiya Mizushima Masaki | Manual Native (My Hero Academia) Kurono Hari | Chronostasis Class 1-A (My Hero Academia) Monoma Neito Takami Keigo | Hawks Yotsubashi Rikiya | Re-Destro Hanabata Koukuu | Trumpet Chikazoku Tomoyasu | Skeptic Mera Yokumiru Tobita Danjuurou | Gentle Criminal Aiba Manami | La Brava Quirkless Midoriya Izuku Quirkless Discrimination (My Hero Academia) Villain Midoriya Izuku Quirk Analysis (My Hero Academia) Genius Midoriya Izuku Scary Midoriya Izuku gradual decent into villainy BAMF Midoriya Izuku Midoriya Izuku Does Not Have One for All Quirk Dead Yagi Toshinori | All Might Confident Midoriya Izuku Shinsou Hitoshi is in Class 1-A Midoriya Izuku Does Not Go to U.A. High School Villain Todoroki Shouto Dabi is a Todoroki poor tsukauchi seriously I put him through hell Slow Burn Todoroki Enji | Endeavor's Bad Parenting Nobody Has One for All Quirk Manga Spoilers Villain Takami Keigo | Hawks Traitor Monoma Neito romance isn't the point of this story but it's fun Villain Midoriya Hisashi meta liberation army
What The Fuck Did You Just Call Me?,reading_raindrop,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,https://archiveofourown.org/works/16122836,"40,094","Summary: “A-ah B-Bakugou! You dropped some pencils!” Katsuki stiffened. Kirishima and Kaminari froze. Basically, everyone within earshot stopped what they were doing to look at Izuku like he sprouted a second head. What did he just call him? “What the fuck did you just say to me?” Katsuki whipped his head towards Izuku with his signature death glare as he stood up from where he picked up the fallen supplies. “U-um I said you dropped some pencils! I think this eraser might be yours to-” “No. What the fuck did you just call me?” Izuku starts calling him Bakugou and it pisses the explosive teen off a lot more than he thought it would",Teen And Up Audiences No Archive Warnings Apply M/M 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Bakugou Katsuki/Midoriya Izuku Bakugou Katsuki Midoriya Izuku Kirishima Eijirou Kaminari Denki Uraraka Ochako Ashido Mina Mineta Minoru Todoroki Shouto Aizawa Shouta | Eraserhead Bakugou Katsuki Swears A Lot Bakugou Katsuki is Bad at Feelings My First AO3 Post Oblivious Midoriya Izuku Oblivious Bakugou Katsuki Two oblivious dorks Mutual Pining katsuki’s POV mostly Fluff Teensy teensy bit angsty I guess
Complicated Creation,Elemental,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,https://archiveofourown.org/works/24798505,"38,965","Summary: Midoriya Izuku is medically quirkless, not technically homeless, perpetually exhausted and doing his damned best despite it all. He also sees spirits, which might be cool if not for the fact that a) no one else does, b) they really don't like him very much, and c) he's pretty sure the heroes now think he's a villain working for the League. Aizawa Shota just wants to take down Overhaul, rescue Eri, keep his students alive, get some rest, and find out how this Deku kid knows things he absolutely should not know about his personal life and the Shie Hassaikai case. Unless Nighteye's right, and the kid really is a villain.",General Audiences No Archive Warnings Apply Gen 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Aizawa Shouta | Eraserhead & Midoriya Izuku Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic Midoriya Izuku Aizawa Shouta | Eraserhead Amajiki Tamaki Sasaki Mirai | Sir Nighteye Toogata Mirio Yamada Hizashi | Present Mic Shinsou Hitoshi Alternate Universe - Canon Divergence BAMF Midoriya Izuku Parental Aizawa Shouta | Eraserhead Midoriya Izuku Does Not Have One for All Quirk Mythical Beings & Creatures Midoriya Izuku sees mythical creatures au where people have guardian spirits inspired by simkjrs Midoriya Izuku Needs A Break Midoriya Izuku Has a Quirk kinda sorta Aizawa Shouta | Eraserhead Adopts Shinsou Hitoshi Canon-Typical Ableism Quirk Discrimination (My Hero Academia) Parental Yamada Hizashi | Present Mic if you don’t want to get adopted then don't be unsupervised where Aizawa can see you Do not repost Podfic welcome with credit
The Way You Used To Do,edema_ruh,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,https://archiveofourown.org/works/16392173,"37,069","Summary: ""We're really sorry,"" his father says, in a teary-eyed, wobbly way. ""But your friend, Izuku, he's... He's gone, son."" Katsuki can do nothing but blink up at them for moments that feel like an eternity, eyes darting between both his parents in obvious confusion, disbelief, and, more than anything, indignation. ""What the fuck are you two talking about? The damn nerd is standing right beside you!""  During a battle, Midoriya gets hit by a villain whose quirk detaches his soul from his body. Stuck in a ghost-like state, the boy enters a race against time in order to save himself from permanently dying. Much to his luck - or lack of it -, the only person who can see and talk to him in this state is no one other than Kacchan. Alternatively: Deku and Kacchan are soulbound.",Teen And Up Audiences Graphic Depictions Of Violence M/M 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Bakugou Katsuki/Midoriya Izuku Bakugou Katsuki & Midoriya Izuku Ashido Mina & Bakugou Katsuki & Jirou Kyouka & Kaminari Denki & Kirishima Eijirou & Sero Hanta Midoriya Izuku Bakugou Katsuki Class 1-A (My Hero Academia) Yagi Toshinori | All Might Aizawa Shouta | Eraserhead Midoriya Inko Bakugou Masaru Bakugou Mitsuki Soul Bond Enemies to Friends to Lovers Slow Burn Mutual Pining Pining Hurt/Comfort Emotional Hurt/Comfort Angst Angst with a Happy Ending Fluff Whump Blood and Injury Post-Traumatic Stress Disorder - PTSD Recovery Character Development Developing Relationship First Kiss Therapy Sign Language Hard of Hearing Bakugou Katsuki Deaf Bakugou Katsuki Bakugou Katsuki Swears A Lot Bakugou Katsuki is Bad at Feelings Protective Bakugou Katsuki Pining Bakugou Katsuki Oblivious Bakugou Katsuki Hurt Bakugou Katsuki BAMF Bakugou Katsuki Bakugou Katsuki Whump Touch-Starved Bakugou Katsuki Jealous Bakugou Katsuki Jealous Midoriya Izuku Oblivious Midoriya Izuku Hurt Midoriya Izuku Pining Midoriya Izuku BAMF Midoriya Izuku Protective Midoriya Izuku Midoriya Izuku Whump Dekusquad (My Hero Academia) Bakusquad (My Hero Academia) Sharing a Bed Cuddling & Snuggling Accidental Cuddling Miscommunication Near Death Experiences Bakugou Katsuki Has One for All Quirk Midoriya Izuku Has One for All Quirk Bakugou Katsuki Has PTSD - Post-Traumatic Stress Disorder Bakugou Katsuki Has Feelings Worried Bakugou Katsuki Ghost Midoriya Izuku Character Turned Into a Ghost Character Study Bakugou Katsuki Redemption Bakugou Katsuki Being an Asshole Unresolved Emotional Tension
Armistice,surveycorpsjean,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/21640063,"5,779",Summary: Sasuke is still here. Or maybe; love hasn't passed them yet.,Mature No Archive Warnings Apply M/M Naruto Boruto: Naruto Next Generations Uchiha Sasuke/Uzumaki Naruto Kyuubi | Nine-tails | Kurama/Uchiha Sasuke/Uzumaki Naruto Uchiha Sasuke Uzumaki Naruto Kyuubi | Nine-tails | Kurama Uzumaki Boruto Uzumaki Himawari Alternate Universe - Canon Divergence takes place 3 years after the boruto movie Fix-It Getting Together Romance Sexual Content au where naruto is divorced & sasuke never got married Pining Hokage Uzumaki Naruto
[doujinshi] My Lost Himawari,SouthNorthSound,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/36581581,"5,541","Summary: A love story consists of different perspectives and different memories. It’s about saudade / realization / entanglement / out of control / hope / restart Chapter700 background Warning: adult content in extra chapters Fan comics, doujinshi. It's highly recommended to read it on big screens such as iPad or PC. So you can see details about their facial expressions. One of the best Naruto fanart I’ve ever seen. So I translated it ❤",Mature Creator Chose Not To Use Archive Warnings No Archive Warnings Apply M/M Naruto Boruto: Naruto Next Generations Uchiha Sasuke/Uzumaki Naruto Uchiha Sasuke Uzumaki Naruto Haruno Sakura Hyuuga Hinata Uchiha Sarada Uzumaki Boruto Uzumaki Himawari Hatake Kakashi Nara Shikamaru Temari (Naruto) Nara Shikadai Akimichi Chouchou Gaara (Naruto) Fanart Fan Comics Alternate Universe - Canon Divergence SasuNaru - Freeform NaruSasu - Freeform Translation Doujinshi Fix-It how it should have ended Angst If you don’t understand how they ended up like that in Boruto READ THIS Poetic comedic Loyal to canon Angst with a Happy Ending Fluff and Angst NSFW Art Sex
Twist in Time,Randomness_is_my_order,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/29161113,"4,999","Summary: Through a completely unrealistic series of events, Naruto - the Hokage of Konoha - lands in the body of his younger counterpart, 22 years into the past. What follows is Naruto making the most of his second life which includes turning revenge-thirsty Sasuke into a normal angsty teenager, helping Sakura get over her puppy crush, annoying Kakashi and somehow getting himself entangled in a romance with Shikamaru (which for the record, doesn't even feel like one.) Orochimaru and the Akatsuki linger in the background, but Naruto's not letting them ruin his life by a stupid war to feed the ego of a dead man. Again, that is.",Teen And Up Audiences Creator Chose Not To Use Archive Warnings Gen F/M M/M Naruto Boruto: Naruto Next Generations Uchiha Sasuke & Uzumaki Naruto Nara Shikamaru/Uzumaki Naruto Haruno Sakura & Uzumaki Naruto Konoha 12 & Uzumaki Naruto Nara Shikamaru & Uzumaki Naruto Haruno Sakura/Uchiha Sasuke Various Characters/Sudden Character Development Uzumaki Naruto Uchiha Sasuke Haruno Sakura Hatake Kakashi Sarutobi Hiruzen Nara Shikamaru Konoha 12 Yamanaka Inoichi Uchiha Itachi BAMF Uzumaki Naruto Time Travel Alternate Universe - Canon Divergence Uchiha Sasuke & Uzumaki Naruto Friendship Strong Haruno Sakura Fights Angst and Humor Bad Humor Contains graphic fuck-ups by the author Read at Your Own Risk Pre-Slash Pre-Relationship
The Things That Change,pupeez4eva,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/17223665,"4,984","Summary: Wherein Hyuuga Hiashi, doting grandfather of Boruto and Himawari, ends up years in the past, and thoroughly confuses everyone.",Teen And Up Audiences Creator Chose Not To Use Archive Warnings Gen Naruto Boruto: Naruto Next Generations Hyuuga Hiashi & Hyuuga Hinata Hyuuga Hiashi & Hyuuga Neji Hyuuga Hiashi & Uzumaki Naruto Hyuuga Hiashi & Hyuuga Hizashi mentions of future!Naruto/Hinata Hyuuga Hiashi Hyuuga Hinata Hyuuga Neji Hyuuga Hizashi Uzumaki Naruto Uzumaki Boruto (mentions) Uzumaki Himawari (mentions) Humor Family Time Travel Next Gen Grandpa!Hiashi travels back in time His past self is horrified The kids and Hizashi are loving it Fix-It of Sorts
Violet Roses,dancewithmelancholy,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/20714330,"3,201","Summary: ""Naruto is marrying Hyuuga Hinata, this spring."" Kakashi said, eyes smiling, ""Isn't that good news?"" The words registered, but they didn't make any sense. Sasuke had just turned on his heel and left. A rewrite of Boruto where Sasuke realizes what Konoha has done to him and that Naruto unfortunately perpetuates the same system that victimized them both as children. He finds another home, where he didn't expect.",Explicit Graphic Depictions Of Violence Rape/Non-Con F/F F/M M/M Naruto Boruto: Naruto Next Generations Gaara/Uchiha Sasuke Uchiha Sasuke & Uzumaki Naruto Gaara & Uchiha Sasuke Gaara (Naruto) Uchiha Sasuke Uzumaki Naruto Tsunade (Naruto) Temari (Naruto) Haruno Sakura Sai (Naruto) Kankurou (Naruto) Uchiha Sarada Shinki (Naruto) Suna-nin | Sand Ninjas (Naruto) Konoha Citizens Falling In Love Angst Character Study POV Uchiha Sasuke Alpha Uchiha Sasuke Mental Health Issues Kazekage Gaara (Naruto) Omega Gaara (Naruto) Abusive Relationships Sasuke is in an abusive relationship Haruno Sakura Bashing One-Sided Haruno Sakura/Uchiha Sasuke Hokage Uzumaki Naruto Coercion Sexual Coercion Sasuke working through his extensive truama Alpha/Beta/Omega Dynamics Unplanned Pregnancy Parenthood Anal Sex Anal Fingering BAMF Uchiha Sasuke Non-Traditional Alpha/Beta/Omega Dynamics Mpreg Also some hints at Orochimaru being disgusting to Sasuke Past Child Abuse Family Bonding Family Feels Family Fluff Healing Trauma Babies Friends to Lovers Uchiha Sasuke-centric Bottom Gaara (Naruto) Top Uchiha Sasuke Declarations Of Love Traumatized Uchiha Sasuke Feelings Realization Denial of Feelings
children get older,jolt,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/15688137,"2,997",Summary: Uzumaki Naruto is Konoha’s first divorced Hokage. // Hinata gets groceries.,General Audiences No Archive Warnings Apply F/M M/M Naruto Boruto: Naruto Next Generations Hyuuga Hinata/Inuzuka Kiba Uchiha Sasuke/Uzumaki Naruto Hyuuga Hinata Alternate Universe - Canon Divergence Infidelity
Officially Official,flailinginlove,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/13177959,"2,616",Summary: Kakashi and Iruka's relationship is one of the worst kept secrets in Konoha.,General Audiences No Archive Warnings Apply M/M Naruto Boruto: Naruto Next Generations Hatake Kakashi/Umino Iruka Umino Iruka Hatake Kakashi Uzumaki Boruto Hokage Hatake Kakashi Established Relationship definitely not an anniversary party well-meaning vandalism background NaruHina - Freeform
Calamity,Anjelle,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/16837576,"2,322","Summary: Most shinobi ought to know not to meddle with things that don't pertain to the mission. But Boruto isn't just another shinobi. A C-Rank retrieval mission takes Boruto's squad to the excavation of an ancient village left in ruins. When he splits off from his teammates to go exploring, he finds himself unwittingly thrown back to a time when his father was shorter than him, the village was half the size, and a whole lot of dead people were still alive and kicking. Were that the only problem, maybe he could cope. But the curse mark on his arm just won't stop talking to him. And being the Hokage's son, it's only a matter of time before his old man goes looking for him.",Teen And Up Audiences No Archive Warnings Apply Gen Naruto Boruto: Naruto Next Generations Uzumaki Boruto & Uzumaki Naruto Uzumaki Naruto Uzumaki Boruto Hatake Kakashi Yamato | Tenzou Sarutobi Hiruzen Jiraiya (Naruto) Kyuubi | Nine-tails | Kurama Time Travel Alternate Universe - Canon Divergence Family Father-Son Relationship father-son bonding Friendship Mystery Curse Mark Canon? Don't Know Her
How to Make a Cumdumpster,TheSecretVillain,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/18309299,"2,169","Summary: Based on the artwork of Sunahara Wataru and the H-Movie “Childhood Restart”: An accomplished Naruto Uzumaki lives in regret over not claiming Sakura Haruno, his true love, before Sasuke Uchiha sank his claws into her. Eager to make things right, Naruto sets out to travel to the past, and, in his younger body, change history so that Sakura devotes herself to him.",Explicit Rape/Non-Con Underage F/M Multi Naruto Boruto: Naruto Next Generations Hyuuga Hinata/Uzumaki Naruto Haruno Sakura/Uzumaki Naruto Uzumaki Naruto/Yamanaka Ino Uchiha Sarada/Uzumaki Naruto Uzumaki Naruto Haruno Sakura Hyuuga Hinata Uchiha Sarada Tenten (Naruto) Tsunade (Naruto) Temari (Naruto) Underage Sex Time Travel Horny Teenagers Shameless Smut Harems Gratuitous Smut Netorare H-Logic Alternate Timelines
Unravel,Dae,"Naruto, Boruto: Naruto Next Generations",https://archiveofourown.org/works/13425582,"2,127","Summary: One way to induce temporary to permanent impotence would be to see your boyfriend and best friend fucking after coming home from visiting your dying mother in the hospital. That was the case for Naruto until he met an attractive, wealthy, arrogant bastard of a man named Sasuke, who turned his world upside down.",Explicit Creator Chose Not To Use Archive Warnings M/M Naruto Boruto: Naruto Next Generations Uchiha Sasuke/Uzumaki Naruto Haruno Sakura/Rock Lee Akimichi Chouji/Yamanaka Ino Nara Shikamaru/Temari Hyuuga Neji/Inuzuka Kiba Slight Gaara/Uzumaki Naruto Uzumaki Naruto Uchiha Sasuke Hyuuga Neji Inuzuka Kiba Haruno Sakura Hyuuga Hinata Nara Shikamaru Sai (Naruto) Karin (Naruto) Uchiha Sarada Humor Angst Romance Slice of Life Yaoi Alternate Universe Shounen-ai
I Was Screaming Your Name Through The Radio,ElectricSplatter,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/22133044,"23,924","Summary: “Four months from now will be the seven year anniversary of when you and Osamu Dazai released your hugely successful first and only album Double Black and its diamond single Corruption. After performing with Dazai earlier this year, are you planning anything special to celebrate?” “Corruption is insanely overrated, and I would prefer to never hear Dazai’s voice for the rest of my fucking life.” gorgeous art by @Letnia919 and liz   [Russian Translation] [Vietnamese Translation-Facebook] [Vietnamese Translation-Wordpress]",Mature No Archive Warnings Apply M/M 文豪ストレイドッグス | Bungou Stray Dogs Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs) Nakahara Chuuya (Bungou Stray Dogs) Dazai Osamu (Bungou Stray Dogs) Mori Ougai (Bungou Stray Dogs) Ozaki Kouyou (Bungou Stray Dogs) Tachihara Michizou (Bungou Stray Dogs) Nakajima Atsushi (Bungou Stray Dogs) Akutagawa Ryuunosuke (Bungou Stray Dogs) Kunikida Doppo (Bungou Stray Dogs) Oda Sakunosuke (Bungou Stray Dogs) Kajii Motojirou (Bungou Stray Dogs) Taneda Santouka (Bungou Stray Dogs) Izumi Kyouka (Bungou Stray Dogs) Lucy Maud Montgomery (Bungou Stray Dogs) Elise (Bungou Stray Dogs) Alternate Universe - Modern Setting Alternate Universe - No Powers Musician!Chuuya Musician!Dazai Slow Burn Literal Sleeping Together Mutual Pining Implied/Referenced Drug Addiction Minor Character Death unresolved childhood trauma Implied/Referenced Child Abuse Depersonalization Enemies to Musical Duo to Even Worse Enemies to Lovers Implied/Referenced Suicide attempt Implied/Referenced Overdose like i guess there's teenage drinking but there's teenage murder in canon Angst with a Happy Ending Slowest Burn is a more accurate tag tbh do not repost to another site
Coil,Allegory_for_Hatred,"文豪ストレイドッグス | Bungou Stray Dogs, Harry Potter - J. K. Rowling",https://archiveofourown.org/works/50225803,"23,697","Summary: Dazai's second year at Hogwarts starts with a bang! Between Mori's latest orders, Snape's investigation, and media-fire coming from all angles, Dazai certianly has his work cut out for him. But he isn't going down without a fight. With a steadily-growing gang of friends (subordinates!) at his back, Dazai might just stand a chance of making it through his second year alive. ...or maybe not. Honestly, Dazai isn't picky.",Not Rated Creator Chose Not To Use Archive Warnings Gen 文豪ストレイドッグス | Bungou Stray Dogs Harry Potter - J. K. Rowling Dazai Osamu (Bungou Stray Dogs) Mori Ougai (Bungou Stray Dogs) Draco Malfoy Blaise Zabini Pansy Parkinson Fred Weasley George Weasley Percy Weasley Severus Snape Poppy Pomfrey Gilderoy Lockhart Albus Dumbledore Ron Weasley Hermione Granger Ginny Weasley Crossovers & Fandom Fusions Port Mafia Member Dazai Osamu (Bungou Stray Dogs) Young Dazai Osamu (Bungou Stray Dogs) Implied/Referenced Child Abuse Dazai-Typical Suicide Mentions (Bungou Stray Dogs) Eating Disorder Not Otherwise Specified Self-Harm Bullying do not copy to another site
Everything or Nothing,Wellthathappened (Cataclysmic_Calamity),文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/26188642,"21,015","Summary: College AU where Chuuya finds out that the boy he drunkenly made out with the night of orientation is his new roommate. His arrogant, smug, very straight roommate. And the boys are each convinced the other is trying to ruin their life by making them go absolutely insane. Turkish Translation Here Vietnamese Translation Here",Explicit No Archive Warnings Apply M/M 文豪ストレイドッグス | Bungou Stray Dogs Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs) Dazai Osamu (Bungou Stray Dogs) Nakahara Chuuya (Bungou Stray Dogs) Shirase (Bungou Stray Dogs) Yuan (Bungou Stray Dogs) Arthur Rimbaud (Bungou Stray Dogs) Oda Sakunosuke (Bungou Stray Dogs) Sasaki Nobuko (Bungou Stray Dogs) Sakaguchi Ango (Bungou Stray Dogs) Kunikida Doppo (Bungou Stray Dogs) Nikolai Gogol (Bungou Stray Dogs) Fyodor Dostoyevsky (Bungou Stray Dogs) Nakajima Atsushi (Bungou Stray Dogs) Mori Ougai (Bungou Stray Dogs) Tachihara Michizou (Bungou Stray Dogs) Ozaki Kouyou (Bungou Stray Dogs) Yosano Akiko (Bungou Stray Dogs) Francis Scott Key Fitzgerald (Bungou Stray Dogs) Akutagawa Gin Edogawa Ranpo (Bungou Stray Dogs) Edgar Allan Poe (Bungou Stray Dogs) Alternate Universe - College/University Alternate Universe - No Powers oh my god they were roommates Slow Burn Dazai Osamu Being An Asshole (Bungou Stray Dogs) Dazai is a Fuckboy Enemies to Friends to Lovers Jealousy Internalized Homophobia Closeted Character they're both petty and stupid as hell Chronic Illness Minor Character Death Mental Health Issues Implied/Referenced Self-Harm Idiots in Love Love songs Kissing in the Rain screaming confessions Kunikida Doppo Is So Done (Bungou Stray Dogs) kunikida is their RA Chuuya is a huge mess there's an illegal panini ring Biphobia Anal Fingering Blow Jobs Praise Kink Masturbation meta references to the manga Friends With Benefits Rimming Anal Sex Denial of Feelings Mutual Pining Lack of Communication coming out scene minor character with terminal illness Dysfunctional Family background kouyou/yosano Dirty Talk Past Child Abuse Past Sexual Abuse Medical Trauma Light Bondage Breathplay Blindfolds Suicidal Thoughts Post-Traumatic Stress Disorder - PTSD Panic Attacks Existential Angst medically inadvisable sex discussions of toxic masculinity
Magic and Mystery,Allegory_for_Hatred,"文豪ストレイドッグス | Bungou Stray Dogs, Harry Potter - J. K. Rowling",https://archiveofourown.org/works/23969512,"19,660","Summary: Dazai is going to Hogwarts—which is crazy because he doesn’t have magic. He has a nullifying ability, for goodness’ sake! Not that it matters. Dazai is still willing to stick around and cause trouble before he gets shipped back home and stuck in his room again. And this Quirrell guy is definitely up to something. So that’s a good place to start.",Not Rated Creator Chose Not To Use Archive Warnings Gen 文豪ストレイドッグス | Bungou Stray Dogs Harry Potter - J. K. Rowling Dazai Osamu (Bungou Stray Dogs) Mori Ougai (Bungou Stray Dogs) Ron Weasley Hermione Granger Draco Malfoy Blaise Zabini Pansy Parkinson Fred Weasley George Weasley Quirinus Quirrell Severus Snape Crossovers & Fandom Fusions Port Mafia Dazai Osamu (Bungou Stray Dogs) Young Dazai Osamu (Bungou Stray Dogs) Dazai-Typical Suicide Mentions (Bungou Stray Dogs) Implied/Referenced Child Abuse Eating Disorder Not Otherwise Specified Don't copy to another site Self-Harm
still still still,icedlightroast,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/16096616,"15,830","Summary: Finally, Chuuya eloquently said, “I don’t want to date you.” Dazai huffed. “Yeah, well, I’m not too thrilled at the idea of having a crazy rockstar boyfriend. But you got us into this mess, you need to help us get out of it.” Had Dazai gone insane? Nakahara Chuuya and Dazai Osamu, dating? Had Chuuya not made it clear through the dozens of direct and indirect meetings that he despised Dazai with every fiber in his body. Featuring: drunk tweets, falling in love, horrendous song writing, cheesy interviews, learning how to ""fake it,"" and Chuuya getting over the headache that is Dazai. Not necessarily in that order.",Mature No Archive Warnings Apply M/M 文豪ストレイドッグス | Bungou Stray Dogs Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs) Nakahara Chuuya (Bungou Stray Dogs) Dazai Osamu (Bungou Stray Dogs) Ozaki Kouyou (Bungou Stray Dogs) Kunikida Doppo (Bungou Stray Dogs) Mori Ougai (Bungou Stray Dogs) Fukuzawa Yukichi (Bungou Stray Dogs) Akutagawa Gin Tachihara Michizou (Bungou Stray Dogs) Higuchi Ichiyou (Bungou Stray Dogs) Nakajima Atsushi (Bungou Stray Dogs) Akutagawa Ryuunosuke (Bungou Stray Dogs) Alternate Universe - Modern Setting Alternate Universe - Celebrity Singer!Chuuya Singer!Dazai Actor!Dazai Fake/Pretend Relationship Enemies to Lovers Mutual Pining Social Media Songwriting Humor Denial of Feelings Implied/Referenced Self-Harm Fluff Public Display of Affection Slow Burn Literal Sleeping Together Hurt/Comfort Dazai-Typical Suicide Mentions (Bungou Stray Dogs) Sexual Content
extraordinary,setosdarkness,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/18116567,"15,755","Summary: “Atsushi-kun has a sugar daddy,” Dazai mumbles, teetering between betrayal and crazy. “I can’t believe that Akutagawa-kun just chucked his Port Mafia salary to your face!” “Quite literally,” Atsushi insists, rubbing at the still-reddened space on his forehead, where Akutagawa’s wallet has practically imprinted itself. “I still think he was trying to kill me.” A sigh. “The pinnacle of romance.” “Dazai-san!” [or, the one where atsushi & akutagawa navigate living together] [in Vietnamese!] [in Russian!] [in Spanish!] [in Chinese!]","Teen And Up Audiences No Archive Warnings Apply M/M 文豪ストレイドッグス | Bungou Stray Dogs Akutagawa Ryuunosuke/Nakajima Atsushi (Bungou Stray Dogs) Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs) Akutagawa Ryuunosuke (Bungou Stray Dogs) Nakajima Atsushi (Bungou Stray Dogs) Post-Canon Developing Relationship Domestic Fluff Fluff and Humor Implied Sexual Content (soukoku as the background ""in-laws"" lol) Dorks in Love"
Mark,Raven_Rein,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/10405311,"15,721",Summary: Dazai was afflicted with a curse and the only way to lift it is by kissing the person who loved him the most. Naturally he took the chance to laugh at everyone's expense.,General Audiences No Archive Warnings Apply M/M 文豪ストレイドッグス | Bungou Stray Dogs Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs) Dazai Osamu (Bungou Stray Dogs) Nakahara Chuuya (Bungou Stray Dogs) Kunikida Doppo (Bungou Stray Dogs) Nakajima Atsushi (Bungou Stray Dogs) armed detective agency - Character Comedy Maybe - Freeform My First Time Attempting Crack So It's probably so unfunny it's funny
Full Tacit Understanding,setosdarkness,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/18083978,"14,223","Summary: Chuuya breathes. Dazai answers, “Yamashita Park.” Ding. (Kunikida despairs as he tallies yet another correct answer. “Just how are they doing this.”) (Lucy tugs at her braids as she sees the odd couple rack up points, frustrated and awed in equal measures. “What is wrong with Japan.”) (Or, the one where they play charades and everyone gets traumatized by soukoku’s level of telepathy.) [in Vietnamese!] [in Russian!] [in Chinese!] [in Spanish!]",Teen And Up Audiences No Archive Warnings Apply M/M 文豪ストレイドッグス | Bungou Stray Dogs Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs) Akutagawa Ryuunosuke/Nakajima Atsushi (Bungou Stray Dogs) Edogawa Ranpo/Edgar Allan Poe (Bungou Stray Dogs) Fukuzawa Yukichi/Mori Ougai (Bungou Stray Dogs) Ozaki Kouyou/Yosano Akiko (Bungou Stray Dogs) Dazai Osamu (Bungou Stray Dogs) Nakahara Chuuya (Bungou Stray Dogs) Bungou Stray Dogs Ensemble Crack Crack Treated Seriously Humor Fluff and Humor Unconventional Relationship soukoku's display of trust & understanding soukoku being Extra soukoku's unconventional mating rituals
